,superkingdom,phylum,class,order,family,genus,species,tax_id,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode22,barcode23,barcode24,barcode25,barcode26,barcode27,barcode28,barcode29,barcode30,barcode31,barcode32,barcode34,barcode35,barcode36,barcode37,barcode38,barcode39,barcode40,barcode41,barcode42,barcode43,barcode44,barcode46,barcode47,barcode50,barcode51
0,Bacteria,,Candidatus Babeliae,Candidatus Babeliales,Candidatus Babeliaceae,Candidatus Babela,Candidatus Babela massiliensis,673862,0.0021873860736419,0.0011629838843661,,0.001231527093596,0.001469508497062,0.0011584808427612,0.002053390660248,0.0020766994323687,,0.0016950948193663,0.002053388090349,,,0.002287295256274,0.001162115038879,,,0.0013958017388014,0.0013653348682314,,0.0014988566909425,,,0.0013214033643605,,,0.0059040827156488,,,,0.0012091898428053,0.0016264957709715,0.0015494024154055,,0.0046663879084488,,,,,0.0018504376549579,,,,0.001694408452108,
1,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Ferruginibacter,Ferruginibacter paludis,1310417,0.0043196366730916,0.0019097985494295,,0.0024637048955465,0.0022920117112446,0.0027050414915082,,,,0.0020706106689853,0.0048534547496901,,,0.0019034935679426,0.002075205445339,,,0.0018943170488534,0.0031403202705014,,0.0026976346053991,,,,,,,,,,,,0.0033353287755316,,,,,,,,,,,,
2,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavitalea,Flavitalea flava,1892851,0.0026306559354252,0.0020773049623194,,,0.0026571975698085,,,0.0019381679005982,,0.002126598109882,0.0034949542672619,,,,,,,,0.0017729315955177,0.0022757697456492,0.0013501128794832,,,,,,,,,,0.0016528041570554,,0.0032711980374107,,,,,0.0117942886404496,,0.0018637605452114,,,,0.0046460598758467,
3,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Paraflavitalea,Paraflavitalea soli,2315862,0.0026710901413913,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019433898512143,,,,,,0.0036502534881535,,,,,,,0.0018311529606386,,,,0.0020665369998801,
4,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Terrimonas,Terrimonas soli,2024524,0.0051434732471765,0.0022431777960642,,0.0022864709453317,0.003322336476424,0.001875238006223,0.0038652011112453,0.0046220089993524,,0.0049216596979122,0.0043109959738632,,0.0046700507614213,0.0039692633651731,,,,,0.0023608337597082,,0.0029449281048328,,,,,0.0022372103266486,0.0034872834323666,0.0030584666218039,0.0039581228518378,,0.0346284974150906,,0.0093503206932284,0.0054034222904522,,,0.002354460399175,,0.0060822017421717,0.004742319842408,,,,0.0035126264643764,
5,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas aurantiaca,173480,0.002662396298608,0.0025811328582762,,0.0026130378962945,0.0025401424411354,0.0020449906786931,0.0025419789637018,0.0048328515017006,0.0042459329551095,0.0017006150935348,0.0039823742337767,0.0044590839127099,0.0044417190163398,,0.0025121178766208,0.0046326865955115,0.0013143815264309,0.0018277474649514,0.002520432019983,0.0023625097564341,0.0020418624197325,,0.0042025737890067,,,,,0.0009363295880149,,,,,,,,,,,,0.0022144956453637,,,,0.003626789567579,
6,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas phototrophica,1379270,0.0025632402849497,0.0024991040912331,0.0068975312384212,0.0026452707857587,0.0042226696968739,0.0027751789612919,0.0037219107708891,0.0034968494138928,0.0049770051077303,0.0042398747583207,,0.0049641936605887,0.0030007630971402,0.0030499799299782,0.0026099496065778,0.0050682626033848,0.0018711977050054,0.0030597623349919,0.0042547999717569,0.0035620791581777,0.0030133560122786,0.0056725267846195,0.0034716479094925,0.0015305428125429,,,0.0029093448013757,,,,,,0.002371414404796,0.0038877643776085,,,,,,0.002122362809343,,,,0.0041321124863914,
7,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatirosa,Gemmatirosa kalamazoonesis,861299,0.0079208382908478,0.0070746163700094,0.0141151966908735,0.0072836585567206,0.009342018147824,0.0068962231528126,0.0095577581272983,0.0101713912578418,0.0091001839465865,0.0060652399892229,0.0071156854373034,0.0124158650684684,0.0100962401006712,0.007024220393819,0.0096620923515051,0.0168575669091102,0.0062991593009119,0.0058369300487503,0.0088661734367446,0.0119122774294835,0.0052752915449093,0.0098586076182842,0.0104848438391193,0.0027245151204269,0.0050503934243806,,0.0045453271617633,,,,,,0.0021309629742703,0.0069443796525431,,,0.0023225961169416,,0.0108949379473283,0.0051150240726367,,,,0.0135678407185156,
8,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,Roseisolibacter agri,2014610,0.0022870162638951,0.002800883437058,0.003229696313129,0.003680010485367,0.0041514537367046,0.0030606966174071,0.0037867120998418,0.002731432519258,0.0031541963366193,0.0020070152576259,0.002276476255434,0.0049572753827562,0.0039838453233996,0.0026501063645718,0.0036417660871454,0.0032885831021042,0.0016681908401064,0.0030392971750962,0.0025482291923525,0.004112504121056,0.0027767466671421,,0.0031958576488093,,0.0037815779841369,,0.0027267417740347,0.0031210986267166,0.0027794324193488,,,,0.0021596413675576,,0.0098576321605134,,,0.0163644344318914,0.0035132891631684,0.0025224760115503,,,,0.0043997938640094,
9,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,Tepidisphaera,Tepidisphaera mucosa,1546155,0.0034633612832664,0.0014952649941876,0.0032828282851423,0.0015833921369333,0.0022042615723726,0.0020137670179402,0.0039859886459717,0.0022151460611934,,0.0022248119504184,0.0022400597349262,0.0026249589850158,,0.0027732463295269,0.0019921972275255,,0.0020933275185346,0.0026919242260219,0.0032800505883972,0.0025435073575663,0.0014200063111391,,,0.0014230534661516,,0.0009874917709018,0.0026020816589477,,,,,,0.0016267720195212,0.002859477124183,0.0017289820618111,,0.0011614401858304,,0.001992362609995,0.0027039627039627,,,,0.0025914468778228,
10,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,Gemmata sp. SH-PL17,1630693,0.0054684710700964,0.0031032289263715,,0.0027269522845615,0.0039886637976067,0.0034253533177156,0.0036242545033994,0.0033226019766866,0.0052187876354877,0.00392700588974,,0.0041613609582091,,0.0042414354839676,0.0043994354252357,0.0056919824361684,0.0027957342388942,,0.0021716801689112,,0.0021034847516854,,,,0.0071342226095802,0.0024300460576414,0.0062695227274023,,,,,,0.0018691438739737,0.0098039215686274,,,0.0028167574230617,,0.0084675070462043,0.0039008601030551,,,,0.0041861855875609,
11,Bacteria,Planctomycetes,Planctomycetia,Isosphaerales,Isosphaeraceae,Singulisphaera,Singulisphaera acidiphila,466153,0.0038279256288722,0.0044027247051005,,0.0047501764979856,0.0039886637976277,0.0033209762125425,0.0033953557555962,0.0042046558505296,0.0048173424327579,0.0027545290814704,,0.0054686645521163,0.0044670016383069,0.003425766032547,0.0034273265306638,0.0037442529309406,0.0031399912778303,0.002294747442729,0.0023880000604526,0.0038821954484605,0.0033133465002083,0.0042837510789672,0.0039104931566369,0.0019312868469201,,,,,,,,,,,,,,,,,,,,,
12,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,Pirellula staleyi,125,0.0029408676306643,0.0014492960612206,,,,0.002374457446414,0.0016722093743862,,,0.0021615606467816,,0.0025237754445819,0.0044653958657266,,,,0.0019658522690845,,0.0013540953304315,,0.0013215197478538,,,,0.0056338463625517,0.0010275315197562,0.0062212690611309,,0.0008949450942517,,,,0.0024151842481514,0.0039218067981617,,0.0019496181769308,0.0013709402492782,,0.003619263857362,0.0038025737364162,,,,,
13,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Thermoguttaceae,Thermostilla,Thermostilla marina,1742923,0.0037987408403745,0.0022575822594551,,0.0023753047308178,0.0028395079484002,0.0027143133621807,0.0032624743227542,0.0029910121187553,0.0036130093637925,0.0028617076871609,0.0042369683304229,0.0028274190861766,0.0059504880951961,0.0039015865999387,0.0026230497023986,0.0043990702070061,0.0023125797720036,,0.0029455730565125,0.003919243788632,0.0025049503768755,0.0061593040337061,0.003460924300337,,0.0054984403393966,0.0023169278461831,0.0075600414098798,,,0.0058007923033389,,,0.0027093390835903,0.005190976031844,,,0.0021467785561822,,0.0058875448979727,0.0055044392742621,,,,0.0018936155065716,
14,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,,,Planctomycetales bacterium,2053591,0.0052910458549214,0.0034555545264605,0.0055555555555555,0.0029024315553981,0.0044672634863256,0.0044233280355134,0.0044255205518336,0.0034813665497374,0.0048173426977178,0.0041115205424724,0.0061601642708845,0.003265019478295,0.0048125456940901,0.0040918881934182,0.0032341268542773,0.0043759588494832,0.0022677715555463,0.0036889332003988,0.0036376367636054,0.004233190159886,0.0053237735398041,0.004282513829763,0.0043595135063469,0.0016790997574911,0.0054085631302168,0.0013883245318343,0.0090000169436991,,,,0.0024157688503668,,0.0045364899819042,0.0078139291032769,0.0027013739687255,0.0021817755130408,0.0039261538724875,,0.0082297816873375,0.0082978733919685,,,,0.0019818498600997,
15,Bacteria,Planctomycetes,,,,,Planctomycetes bacterium ETA_A8,2528021,0.0029164789097266,0.0018091650926902,,0.0027274574049635,0.0038195041269367,0.0034623139079979,0.0040488722025132,0.0042750770313261,0.0042151718244794,0.0022371964393419,0.0050887539850716,,,,0.0021886924713243,0.0027715638854526,0.0013909965778094,0.0019940179461566,0.0020511974281861,0.0026844018901174,0.0020517367174244,,0.0030420669394821,,0.0097102354870725,0.0013946863872365,0.0097176037759695,,,,,,0.0038705863619848,0.008547524068553,0.0025934649722484,0.0025877244005031,0.0024380117093254,,0.0066399457324099,0.0057461054686516,,,,0.002802722801821,
16,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,Chthoniobacter flavus,191863,0.0160576467415918,0.0115927840728668,0.0136672016041648,0.0090410366656285,0.0127071802060394,0.0103957924098993,0.0163157719898739,0.0101269167102714,0.0148306160509366,0.0112035402968978,0.0146828018943111,0.0082484529063831,0.0105273572426368,0.0108755681247849,0.0092969277894261,0.0105704272266928,0.0047245490336158,0.009515370962857,0.012124073571818,0.0101425595439639,0.0117694510745486,0.0080758175523173,0.0141254458611173,0.0019287632974737,0.0048574982827371,,0.0029455321196976,0.0049765368677423,0.0059767381608088,,0.0129987908101572,,0.0050352593434847,0.0042892763375504,0.0042223604687397,,0.0012670736205993,0.0026536912293701,0.003650338283669,0.0035288779658176,,,0.2571701705118702,0.0503920962142221,
