,superkingdom,phylum,class,order,family,genus,species,tax_id,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,barcode25,barcode26,barcode27,barcode28,barcode29,barcode30,barcode31,barcode32,barcode33,barcode34,barcode35,barcode36,barcode37,barcode38,barcode39,barcode40,barcode41,barcode42,barcode43,barcode44,barcode45,barcode46,barcode47,barcode48,barcode49,barcode50,barcode51,barcode52,barcode53,barcode54,barcode55,barcode56,barcode57,barcode58,barcode59,barcode60,barcode61,barcode62,barcode63,barcode64,barcode65,barcode66,barcode67,barcode68,barcode69,barcode70,barcode71,barcode72,barcode73,barcode74,barcode75,barcode76,barcode77,barcode78,barcode79,barcode80,barcode81,barcode82,barcode83,barcode84,barcode85,barcode86,barcode88,barcode89
0,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter ginsengisoli,462367,0.0040413023001571,,,,,0.0017169335589531,,0.0050308837176798,0.0105495163063774,,,,,,,,,,,,,0.0078937878322549,,,,0.0043249337423506,0.0082874376743185,0.001552388445067,,,,0.0025325221941571,,,0.0058918834721177,,,,,,,,0.0038232772800306,,,0.0143027295659992,0.017746226217566,0.0057206156207753,0.0053825268925616,,,0.0018072054109062,,,0.0024872139262519,0.0024401204240988,0.0056548330273827,0.0018673694761713,0.0015762114044392,,,,0.0011425024846158,,,,,,,0.0441254223963595,0.001827385330276,,,0.0011227777552464,0.0036947597190693,,,,0.0046878178227291,,,,0.0015195734664179,,,,0.003001223643512,
1,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter ginsengiterrae,398045,0.0179342122993101,,,0.0018872178167628,,0.0038015696977082,0.0036527634352456,0.0243523453029813,0.0105424792447528,,,,0.005707204604079,,,,,,,0.0021154004225455,,0.0445069696133641,0.0026093502962753,,,0.0090789123268335,0.0184191507793832,0.0040432303720819,,0.0044483020505587,,0.0062452585831695,,,0.0074917480232957,,,0.0038939630683782,,,0.0081277213352685,,0.0070858213163211,0.0049664906656755,,0.0487032273723881,0.1115123620593816,0.0573983988505251,0.0110210633271845,,,0.0024563410326927,,,0.0048032275562031,0.0053139623772996,0.0117163856224387,0.0076551304981514,0.0153302621150117,,,,0.0023644994042993,0.0052432885906039,0.0027386264401805,,,,,0.1414229437893708,0.0074719049870418,,0.0043620501635768,0.0034909569323948,0.0045646530679961,0.0039741760484262,,0.0019887711803232,0.0157945599794638,0.0030382713469613,,,0.0032649154324988,,,,0.001486844218856,
2,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter tropicus,1492898,0.006138969032295,,,0.0055996919386983,,0.0026927545754824,,0.0059497730926413,0.005932237829763,,,,0.0022487498696634,0.0036644706387786,0.0041916049600337,,,,,0.0026995454178579,,0.0097285567192866,0.0017888192168918,,,0.003146176705734,0.0134758218770653,0.0099876750734745,0.0034367972054768,,0.0024372794463102,,,0.0062690023881615,0.005508379572811,,,,,0.0057153727913432,,,0.0106939433184988,,,0.0086985166409823,0.0106944655357205,0.0116821974755273,,,0.0033720515187447,,,,0.0049299715148857,0.0026607871736241,0.0118834742742724,0.0018446787355897,0.002639469074281,,,0.0048794274317642,0.002131175319838,,0.0036615922189671,,,,,0.0452865144902645,,0.00336254903753,,0.0015039999201838,0.0031299132848859,0.0063829092579192,,,0.0071931261811064,0.0043762910041033,,,0.0023803200350839,,,,0.0027726333519233,
3,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,Spirosoma sordidisoli,2502893,0.0063257775434897,,,,,,,,,,,,,0.0033791938209027,,,,,0.0042918455608409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009883197810391,,,,,,,,,,,0.0016123253314234,,,,,,,,,,,,0.002409943942128,,,,,,,,
4,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,Pontibacter amylolyticus,1424080,0.0038657310169125,,,,,,,,,,,,,,,,,,0.0030298787089982,,,,0.0012369815361763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030512216968447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0048629531387698,,,,
5,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,107709,0.0029871727288701,,,0.0028776978417266,,,,,0.003951444939111,,,,0.0016470588235294,,,,,,,,,,0.0024281305406851,,,,0.0026984483921744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014066110720385,,,0.0015948435811766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Ornatilinea,Ornatilinea apprima,1134406,0.0052714873323531,,,,,0.002499930880841,0.00918550358895,,,,,0.0032206158147818,,,,,0.0045221607014384,0.0016103059598151,,0.0031261792820815,,,,,0.0054981091566287,0.0031955260477454,,,0.0064239032636324,,,,,,,0.0081904387660782,0.0087509194022875,,,,,0.0081530642241101,,,0.0027459133840498,,,0.0030377648482488,,0.0057231842064872,,,,0.0041194744972195,0.0111892143466767,0.0023102509721987,,,,0.0018955664950452,,0.0071350093179766,,,0.003103572005838,,0.008548683447404,,,,,,,,,,,,,0.0031707007161904,0.0128060168140142,,,,0.0079935078063674,,,
7,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Caldilinea,Caldilinea aerophila,133453,0.0036900308542573,,,,0.0025572057869761,0.002534377236108,0.00656520506236,,0.0065279579587526,,,,,,,0.0096035654192742,0.0069469133614065,0.0023088439938504,0.0036841170374313,0.0018089908997076,,,,,0.0025189228002736,0.0065067948825728,,,0.0035877235422111,0.0033627502577539,0.0020995646079109,,0.0031608060055314,0.0053085216731763,0.0024267914869807,0.003256041293425,0.0059840246915721,0.0025688073394495,,0.00224563343769,,0.0054531883544532,0.0016834344862737,0.0031760369939848,0.0032173503295835,,,0.0034445169149317,0.0064995357474466,0.0031168508860472,,,0.0017641200672345,0.0034942206309733,0.0020888712855653,0.0014127995252868,,,,0.002256570097873,0.0060865443252445,,0.0033653448598683,,0.001902301873344,0.00203279817796,0.002222543253282,0.0010912325284353,0.0037123756550196,,,,,,,,,0.0020975742437432,,0.0025407529728029,,,,,0.0043748693425508,,0.0016993957327946,
8,Bacteria,Cyanobacteria,,Nostocales,Aphanizomenonaceae,Nodularia,Nodularia spumigena,70799,0.0163042615030364,,0.011639634350811,,,0.0115483826883849,0.0053142710579399,,,0.0141492909695073,,,,0.0041777980996229,,,,0.0164433381946951,0.0226067907831307,,,,,,0.0194108146873902,,,,,0.0022258854470167,0.0080462589762166,,0.0038163346548964,,,,,,,,,,0.002447305459039,,,,,,0.0073710824215089,0.0082712175054939,,,0.006457610674658,,0.0055540695968908,0.0090937127939163,,,,0.0127231350148229,,,,,,0.0088832615911582,,0.0122017667359898,0.0202173624745978,,,,,,,0.0053547764188271,,,0.0044200876811404,0.0053174839821984,,0.0034732423381825,,,,,,
9,Bacteria,Cyanobacteria,,Nostocales,Calotrichaceae,Calothrix,Calothrix sp. NIES-2098,1954171,0.0519972215707069,,0.0277978285255197,,,0.0158501449677722,0.0057870886871334,,,0.0196936079457605,,,,0.0063609718509454,,,,0.0202680172317521,0.0434904440500272,0.0062222916015803,,,,,0.0373273366348889,,,,,0.0070617864456457,0.0170638193789978,,,,,,,,,,0.0065649723448005,,0.0032281362453638,,,,,,0.0061057825337014,0.0252843105641934,,,0.0420876318962292,,0.0048822837879797,0.0109034635589911,0.0068071200366594,,0.0019250717767875,0.0237187663636423,,0.0066667248863856,,,0.0047472540266912,0.014256297013065,,0.0292219354390288,0.0227434163574523,,,,0.0029989094923622,,,0.0217548072044161,,,0.0087760874731733,0.0097583586240373,,0.0300962296439189,,,,,,
