,superkingdom,phylum,class,order,family,genus,species,tax_id,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,barcode25,barcode26,barcode27,barcode28,barcode30,barcode31,barcode32,barcode33,barcode34,barcode35,barcode36,barcode37,barcode38,barcode39,barcode40,barcode42,barcode43,barcode44,barcode45,barcode46,barcode47,barcode48,barcode49,barcode50,barcode51,barcode52,barcode53,barcode54,barcode55,barcode56,barcode57,barcode58,barcode59,barcode60,barcode61,barcode62,barcode63,barcode64,barcode66,barcode67,barcode68,barcode69,barcode70,barcode71,barcode72,barcode73,barcode74,barcode75,barcode76,barcode78,barcode79,barcode80,barcode81,barcode82,barcode83,barcode84,barcode85,barcode86,barcode87,barcode88,barcode90,barcode91,barcode92,barcode93,barcode95,barcode96
0,Bacteria,,Candidatus Babeliae,Candidatus Babeliales,Candidatus Babeliaceae,Candidatus Babela,Candidatus Babela massiliensis,673862,0.0021429065212422,0.0032092273822702,0.0015015204651568,0.0016254207650186,,0.0004884471627449,0.0023861704849055,0.0004116984694545,0.0001898353838231,0.0043720304285368,0.0010864906628114,0.0029161610909522,,0.0018817558132833,0.0001751129566719,0.0004436646646299,0.0012279135684403,0.0007065717938022,0.0023224066763023,0.0003131488946929,0.0002454139182369,0.0015602632430277,0.0007911755872121,0.000644544244812,0.0092507430551203,0.0019368776522436,0.0026462380551906,0.0021700294298987,0.0017543462467125,0.0014337108014057,0.0003183952877497,0.0002528338888826,0.0005933625310539,0.0035767383237454,,,0.0024249003538591,0.0022169109063358,0.0003582089552513,0.0022183526249349,0.0017315018751854,0.001796844069172,0.0006376590411137,,0.0024942210563632,0.0044705451970883,0.00241160875661,0.0026965774336538,0.001845899782284,0.0019351794593586,0.0007214501587524,0.0016431315749489,0.0018525429380097,0.0017985026689446,0.0014821927041747,0.0017555989823259,0.0023705960079922,0.0040442882616888,0.0039122333423543,0.0005721852156778,0.0024582492900648,0.0008497649679152,0.0004499873923831,0.0008630765346213,,0.0041892093159027,0.0012027311627342,0.0013945862564341,0.0016554821277579,0.0014248276025169,0.0009299366184683,0.0009042305410522,0.0010699099866731,,0.0039358711578348,0.0009851784526852,0.001483506831689,0.0002393421837055,0.0018376198339901,0.0006121111150486,,,,0.0017845102266558,0.0003568815619378,0.0016892935439661,,0.0012184243458414,
1,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Cnuella,Cnuella takakiae,1302690,0.0004204008294925,0.0083229523583824,0.0177796093399338,0.0081339738345564,0.0084819117976245,0.0060357937406671,,0.0049197523274853,,,0.0008151205735144,0.0023792802663544,0.0010415247714669,0.0005361851888711,,0.0013521547957896,0.0004133553779295,,,,,0.0003451684196728,,0.0006044364981242,,,,0.0003301873439646,0.0003678053594594,0.0012971256552756,,,0.0005724955349624,,,,,0.0003237292476146,0.0028778306591119,0.0006617721746282,,,0.0032035712821321,0.004420324685462,,,,0.0006040868029545,,,0.0017744913815244,,0.0021641353418843,,0.0028829907104703,,,,,0.0020351424493675,,0.0024316756193241,,0.0010146301113956,0.0012787314309338,,,0.0003100366980831,,,0.0040473346270695,,0.0048430219479997,0.0025784232689388,,,0.0010656302503444,,0.0015747184195487,,0.0148416558693825,0.0089528272174363,0.0108401415031458,0.000638696401969,0.0005525553447357,,,,
2,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flaviaesturariibacter,Flaviaesturariibacter luteus,1789691,0.0003193657966034,0.000492932609702,0.0036099829362084,0.0023055819993827,0.005215267486793,0.0063412073081221,,0.0008898708660674,,,0.0004749885721111,0.002208689842678,0.0017094827899222,,0.0003043166621402,,0.0001849673633523,0.0002944787412786,0.0002662928947318,,,0.0002703820819225,,,,,,,,0.0008388335624017,,,0.0007374775619644,,,,,,0.001556156125422,,,,,0.0008358290623592,,,,0.0007238148407166,,,0.0006866659694024,,0.0003571434721214,,0.0002228529505856,0.0003434674992923,,,,0.0008764969452475,,0.0010650799715764,0.0016919481509505,,0.00040330954344,,,,,,0.0010306503914841,,0.0003025017013791,0.0013414135171562,,0.000331964345116,0.000396075307786,,,,0.0027107781042314,,0.0016879926559539,0.0006433630222557,0.0003045634733845,0.0001517199452598,,0.0002771101010559,
3,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavihumibacter,Flavihumibacter cheonanensis,1442385,0.0437357970897085,0.0005123344687645,0.0364047124656862,0.0389023725833775,,0.0078183115651765,,,,,0.000751319079536,0.0072711828752954,0.0075871315278293,0.0003542255544954,,,0.002719566295481,0.0425088782021675,,,,0.0027881884384033,,0.0028685389918092,0.0121763497473666,,,,,,,,,,0.0041316128883275,,,,0.0135186396157337,,,0.0007187175304589,,0.0089846224707486,,,,0.0070239511411062,,,,,,,0.0021560846693283,,,,,,,0.0005983321475474,,0.0038552981283829,0.0277862452407967,,,0.0006742337011122,,,,,0.0006049529610098,0.0012191826956346,0.0024029947504677,0.0005015853678962,,,,,,0.0064330862179974,0.0036022258082153,,0.018985712088669,,,,
4,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavihumibacter,Flavihumibacter petaseus,549295,0.0020238298801244,,0.0023948902886996,0.0024709354336178,,0.0007134738813361,,,,,0.0002361722815466,0.0006359758842615,0.0006454103662246,,,,0.0002771246245383,0.0019022068463032,,,,0.0002165635783046,,,0.000810750050522,,,,,,,,,,0.000610232429801,,,,0.0011813044992958,,,,,0.0006931007868633,,,,0.0005193667182766,,,,,,,,,,,,0.0002676697734821,,0.0001722829364317,,0.000412454121016,0.0025676873792066,,,,,,,,0.0001161492881584,,,,,,,,,,0.0003590916562476,,0.0012717746281425,,,,
5,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavihumibacter,Flavihumibacter profundi,2716883,0.0066128533629937,,0.0093977321132966,0.0102680862165762,,0.0033821516817568,,0.0007309690545109,,,,0.0019812852386684,0.0022861525563075,,,,0.0004023303638415,0.0055657577130647,,,,0.0007176038455698,,0.0005316366870402,0.0020408429625552,,,,,,,,,,0.0010270495150492,,,,0.0030730552869053,,,0.000291510341402,,0.0019851780121906,,,,0.0023530153432716,,,,,0.0004832705223069,,0.0005800296172942,,,,,,,0.0002709157477371,,0.0014869158035885,0.0058627497057652,,,0.0003153748452483,,,0.001092566888962,,0.0003717492846011,0.0004698604461567,0.0006514479841119,,0.0004391577494325,,,,,,0.0007098452551891,0.0002097369753375,0.0027108049178663,,,,
6,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavihumibacter,Flavihumibacter sediminis,1571481,0.0017573080849284,,0.0013388482535484,0.0022992200116043,,,,,,,,,0.0004062401054333,,,,0.0001966733985694,0.0013587988279358,,,,,,,0.0006030229386122,,,,,,,,,,0.000201425108394,,,,0.0002839895948931,,,,,0.0002305351292897,,,,0.000451599243207,,,,,,,,,,,,,,,,,0.0007884197467797,,,,,,,,,,,,,,,,,,,,0.0007247444999692,,,,
7,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavihumibacter,Flavihumibacter solisilvae,1349421,0.0003000271256447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001191578816704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavihumibacter,Flavihumibacter stibioxidans,1834163,0.0094274606371215,,0.0168177960369617,0.0131795995630125,,0.0036047162790394,,0.0004917751937325,,,,0.0024195819428287,0.002172665426052,,,,0.0006424796831746,0.0094676859834303,,,,0.0009667303730457,,0.0005373698172054,0.0029125777931429,,,,,,,,,,0.0014964427165188,,,,0.0042899386325024,,,0.000315040662896,,0.0044947497280021,,,,0.0028810696929936,,,,,,,0.0007898225997844,,,,,,,0.0004309343716823,,0.0014350601600783,0.0080941489973541,,,0.0003231101521654,,,0.0003639443525767,,0.0006729724716293,0.0006446812892202,0.0005654183766047,,,,,,,0.0011713173887321,0.0020562187889149,,0.0052309691448673,,,0.0002609675811435,
9,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter ginsengisoli,462367,0.0004710401660887,0.0095312688668544,0.0102398435933574,0.0051191580956054,0.0242344682245344,0.0259654304585581,,0.0025164423032946,,,0.0016288648755743,0.0089758265083522,0.0076375329965237,0.0004112035157476,0.0012685692060825,0.0005324520754021,0.0010111801971629,0.0003369991940442,0.0003244384151456,0.0009356971666545,,0.0044521036293341,,0.0006708145702605,0.0008583916826333,,0.0003268755874898,0.0001034313793149,,0.0078978752392223,,,0.0025137926005741,0.0003557834099762,0.0001969360326048,,,,0.0038291332507215,0.0003008245450511,,,,0.0041050597407934,,,,0.0005232088250409,,,0.0011414487876735,0.0006564198200868,0.001572751068584,,0.0015870139265335,0.000313936749329,0.0013161270354368,,,0.0072820252685188,,0.0052132003185446,0.0010566910064201,0.0013854941685843,0.0013379689389049,,,0.0004296555274024,0.0002213556964729,,0.0037989186531864,,0.0008962928710143,0.0056243613217016,0.0006476356297437,0.0054602756559958,0.0016878764198722,0.0003097314682977,0.0006784365558035,,0.0261112486268752,0.0069903535439237,0.0056045522808428,0.0033686182922611,0.0009648917732469,0.0004087218618344,,0.0014685270175182,
